M,K,N,It1
256,1280,16,902.85
512,1280,16,949.3
768,1280,16,907.6
1024,1280,16,909.15
1280,1280,16,919.75
1536,1280,16,886.05
1792,1280,16,896.65
2048,1280,16,998.1
2304,1280,16,926.45
2560,1280,16,1009.8
2816,1280,16,879.2
3072,1280,16,983.45
3328,1280,16,894.95
3584,1280,16,1032.7
3840,1280,16,869.75
4096,1280,16,978.55
4352,1280,16,904.6
4608,1280,16,887
4864,1280,16,880
5120,1280,16,899.4
5376,1280,16,896.2
5632,1280,16,897.35
5888,1280,16,878.55
6144,1280,16,923.6
6400,1280,16,898.35
6656,1280,16,880.5
6912,1280,16,906.45
7168,1280,16,973.65
7424,1280,16,861.95
7680,1280,16,894.85
7936,1280,16,906.2
8192,1280,16,886.7
